sport,market,game/event,player,site,odds
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,Sugarhouse,+5000
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,888sports,+5000
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,Best Line: BetRiver,+3500
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,BetRivers,+3500
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,Sugarhouse,+3500
PGA,To Win,PGA - Sony Open in Hawaii,Brendon Todd,888sports,+3500
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,Best Line: BetRiver,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,BetRivers,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,Sugarhouse,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Sebastian Munoz,888sports,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,Best Line: BetRiver,+25000
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,BetRivers,+25000
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,Sugarhouse,+25000
PGA,To Win,PGA - Sony Open in Hawaii,Martin Trainer,888sports,+25000
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,Best Line: BetRiver,+25000
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,BetRivers,+25000
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,Sugarhouse,+25000
PGA,To Win,PGA - Sony Open in Hawaii,William McGirt,888sports,+25000
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,Best Line: BetRiver,+1200
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harris English,PointsBet,No Lines
